FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 311.1250       6.570      5.087      3.150      0.000      9.693    -31.172      0.000      0.000      6.753      6.290      6.290      3.365      6.753
 311.2500       6.658      5.150      3.395      0.000      9.747    -31.275      0.000      0.000      6.734      6.432      6.432      3.356      6.734
 311.3750       6.630      5.150      3.449      0.000      9.669    -31.376      0.000      0.000      6.679      6.550      6.550      3.327      6.679
 311.5000       6.553      5.092      3.739      0.000      9.541    -31.427      0.000      0.000      6.664      6.617      6.617      3.313      6.664
 311.6250       6.438      5.010      3.484      0.000      9.428    -31.273      0.000      0.000      6.618      6.640      6.640      3.272      6.618
 311.7500       6.269      4.863      3.257      0.000      9.383    -31.038      0.000      0.000      6.595      6.620      6.620      3.236      6.595
 311.8750       6.130      4.715      3.259      0.000      9.383    -30.912      0.000      0.000      6.515      6.539      6.539      3.027      6.515
 312.0000       6.133      4.658      3.407      0.000      9.397    -31.000      0.000      0.000      6.505      6.344      6.344      2.990      6.505
 312.1250       6.327      4.725      3.264      0.000      9.493    -31.000      0.000      0.000      6.460      6.038      6.038      2.825      6.460
 312.2500       6.400      4.753      3.172      0.000      9.589    -31.285      0.000      0.000      6.428      5.662      5.662      2.718      6.428
 312.3750       6.470      4.780      3.579      0.000      9.622    -31.665      0.000      0.000      6.429      5.302      5.302      2.677      6.429
 312.5000       6.553      4.825      3.799      0.000      9.659    -32.074      0.000      0.000      6.429      5.072      5.072      2.679      6.429
 312.6250       6.630      4.877      3.647      0.000      9.721    -32.334      0.000      0.000      6.423      4.992      4.992      2.688      6.423
 312.7500       6.660      4.900      3.626      0.000      9.759    -32.190      0.000      0.000      6.417      5.038      5.038      2.687      6.417
 312.8750       6.696      4.906      3.905      0.000      9.785    -32.241      0.000      0.000      6.442      5.161      5.161      2.645      6.442
 313.0000       6.811      4.949      3.659      0.000      9.805    -32.420      0.000      0.000      6.443      5.328      5.328      2.646      6.443
 313.1250       6.789      4.923      3.606      0.000      9.809    -32.688      0.000      0.000      6.451      5.516      5.516      2.663      6.451
 313.2500       6.606      4.825      3.690      0.000      9.797    -33.035      0.000      0.000      6.445      5.722      5.722      2.714      6.445
 313.3750       6.385      4.710      3.681      0.000      9.780    -33.454      0.000      0.000      6.405      5.931      5.931      2.838      6.405
 313.5000       6.453      4.682      3.665      0.000      9.774    -33.916      0.000      0.000      6.399      6.108      6.108      2.863      6.399
 313.6250       6.566      4.700      3.345      0.000      9.755    -34.328      0.000      0.000      6.381      6.240      6.240      2.936      6.381
 313.7500       6.766      4.811      3.623      0.000      9.736    -34.475      0.000      0.000      6.367      6.339      6.339      2.975      6.367
 313.8750       7.160      5.037      3.830      0.000      9.684    -34.342      0.000      0.000      6.338      6.426      6.426      3.105      6.338
 314.0000       7.592      5.244      3.883      0.000      9.625    -34.095      0.000      0.000      6.336      6.513      6.513      3.122      6.336
 314.1250       7.731      5.222      4.222      0.000      9.625    -33.984      0.000      0.000      6.329      6.569      6.569      3.208      6.329
 314.2500       7.748      5.267      4.424      0.000      9.625    -33.779      0.000      0.000      6.326      6.544      6.544      3.246      6.326
 314.3750       7.960      5.363      3.434      0.000      9.603    -33.618      0.000      0.000      6.314      6.413      6.413      3.358      6.314
 314.5000       8.125      5.448      2.841      0.000      9.524    -33.661      0.000      0.000      6.314      6.206      6.206      3.371      6.314
 314.6250       8.278      5.532      3.254      0.000      9.410    -33.686      0.000      0.000      6.320      6.015      6.015      3.414      6.320
 314.7500       8.580      5.704      4.331      0.000      9.291    -33.532      0.000      0.000      6.326      5.902      5.902      3.422      6.326
 314.8750       9.287      6.185      4.305      0.000      9.182    -33.378      0.000      0.000      6.320      5.882      5.882      3.411      6.320
 315.0000       9.842      6.532      4.339      0.000      9.167    -32.923      0.000      0.000      6.314      5.932      5.932      3.402      6.314
 315.1250      10.276      6.750      4.606      0.000      9.188    -32.540      0.000      0.000      6.320      5.983      5.983      3.406      6.320
