FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2388.060      70.374      8.326      8.311     18.987      2.605    113.309     12.501     13.293     19.206    -22.005
2388.185      70.123      8.324      8.303     18.412      2.609    106.758     13.176     14.005     24.099    -22.146
2388.310      69.342      8.336      8.288     17.797      2.603    103.059     13.812     14.657     24.413    -22.280
2388.435      68.345      8.350      8.295     16.739      2.602     98.755     14.161     15.003     18.106    -22.417
2388.560      67.685      8.353      8.303     15.604      2.603     99.400     14.283     15.135     18.391    -22.550
2388.685      67.933      8.357      8.310     14.992      2.598    100.759     14.112     14.979     24.558    -22.686
2388.810      69.228      8.367      8.324     15.334      2.585    102.817     13.720     14.597     29.433    -22.815
2388.935      71.307      8.383      8.354     16.639      2.569    106.664     13.196     14.065     26.567    -22.928
2389.060      73.550      8.405      8.395     18.239      2.563    111.372     12.531     13.352     17.416    -23.035
2389.185      74.793      8.410      8.405     19.176      2.571    115.138     11.742     12.487     14.728    -23.115
2389.310      75.244      8.416      8.414     19.445      2.577    121.540     11.198     11.911     13.952    -23.191
2389.435      75.117      8.420      8.419     19.463      2.578    122.347     10.974     11.691     13.830    -23.264
2389.560      74.654      8.427      8.422     19.545      2.577    122.589     11.024     11.762     13.714    -23.344
2389.685      74.028      8.440      8.428     19.816      2.575    125.764     11.223     11.979     13.549    -23.439
2389.810      73.233      8.450      8.450     20.115      2.572    119.039     11.410     12.169     13.858    -23.553
2389.935      72.765      8.456      8.456     20.134      2.563    123.881     11.453     12.192     14.286    -23.718
2390.060      72.782      8.462      8.457     19.916      2.563    122.159     11.372     12.096     14.649    -23.900
2390.185      73.287      8.476      8.464     19.841      2.568    123.235     11.189     11.893     15.373    -24.095
2390.310      74.099      8.491      8.480     20.119      2.570    125.441     10.956     11.637     16.196    -24.306
2390.435      74.965      8.500      8.499     20.768      2.563    124.473     10.729     11.388     16.347    -24.535
2390.560      75.687      8.518      8.511     21.597      2.554    121.782     10.544     11.177     14.716    -24.777
2390.685      76.132      8.530      8.517     22.121      2.559    119.429     10.436     11.075     12.734    -25.010
2390.810      76.385      8.531      8.519     22.181      2.566    117.667     10.347     10.990     12.499    -25.249
2390.935      76.450      8.535      8.519     22.121      2.568    116.940     10.268     10.920     12.963    -25.498
2391.060      76.301      8.544      8.527     22.172      2.565    116.725     10.173     10.839     13.361    -25.750
2391.185      75.904      8.553      8.546     22.360      2.561    116.187     10.024     10.708     13.372    -25.993
2391.310      75.238      8.553      8.558     22.412      2.561    114.842      9.774     10.483     13.291    -26.214
2391.435      74.317      8.560      8.560     21.747      2.564    117.330      9.512     10.255     13.243    -26.423
2391.560      73.439      8.594      8.578     20.642      2.560    115.514      9.326     10.106     12.704    -26.610
2391.685      72.640      8.639      8.617     19.529      2.546    117.586      9.265     10.083     12.224    -26.763
2391.810      71.839      8.700      8.668     18.663      2.528    120.141      9.356     10.213     12.236    -26.877
2391.935      70.937      8.775      8.714     18.098      2.515    118.635      9.593     10.500     12.770    -26.960
2392.060      69.913      8.833      8.740     17.674      2.513    117.828      9.940     10.906     13.166    -27.033
2392.185      68.944      8.894      8.842     17.233      2.516    112.179     10.471     11.542     13.882    -27.078
2392.310      68.267      8.923      8.877     17.114      2.518    104.593     11.042     12.231     15.422    -27.115
2392.435      68.017      8.940      8.901     17.452      2.518     98.943     11.618     12.925     16.923    -27.163
2392.560      68.139      8.960      8.929     18.127      2.512     94.209     12.090     13.496     18.047    -27.227
2392.685      68.524      8.992      8.956     18.856      2.501     89.044     12.329     13.797     18.727    -27.306
2392.810      69.142      9.042      8.972     19.288      2.484     86.353     12.246     13.719     18.907    -27.401
2392.935      69.746      9.122      9.067     19.174      2.475     84.672     11.786     13.199     18.259    -27.521
2393.060      70.242      9.179      9.131     19.065      2.472     84.228     11.232     12.560     17.611    -27.663
2393.185      70.587      9.213      9.161     19.198      2.470     86.192     10.691     11.937     16.940    -27.810
2393.310      70.753      9.248      9.172     19.561      2.467     89.635     10.236     11.422     16.304    -27.962
2393.435      70.760      9.295      9.185     20.000      2.465     93.254      9.901     11.060     15.801    -28.117
2393.560      70.729      9.324      9.211     20.330      2.468     97.087      9.696     10.858     15.521    -28.258
2393.685      70.698      9.327      9.286     20.459      2.470     95.069      9.614     10.788     15.948    -28.395
2393.810      70.664      9.330      9.325     20.600      2.468     94.666      9.557     10.744     16.228    -28.503
2393.935      70.717      9.329      9.344     20.822      2.465     95.473      9.548     10.745     16.051    -28.591
2394.060      70.832      9.288      9.299     21.081      2.463    100.692      9.542     10.746     15.304    -28.656
2394.185      70.940      9.146      9.125     21.237      2.464    110.955      9.493     10.695     14.344    -28.700
2394.310      70.992      8.828      8.762     21.062      2.470    118.151      9.420     10.612     14.277    -28.739
2394.435      70.867      8.849      8.771     20.140      2.474    119.160      9.305     10.493     15.250    -28.743
2394.560      70.772      8.939      8.883     19.129      2.468    116.456      9.208     10.375     14.418    -28.744
